"edo_min","nombre_distrito","cve_edo","cve_dtto","cve_edo_dtto","pan","pri","prd","pvem","pt","movimiento_ciudadano","nueva_alianza","morena","encuentro_social","pan_prd_mc","pan_prd","pan_mc","prd_mc","pri_pvem_na","pri_pvem","pri_na","pvem_na","pt_morena_pes","pt_morena","pt_pes","morena_pes","cand_ind_01","cand_ind_02","cnr","vn","total_votos_calculados","lista_nominal_casilla","v_meade","v_amlo","v_anaya","v_bronco","v_nulos_bis","v_validos"
"Jalisco","SANTA CRUZ DE LAS FLORES","14","12","1412",34186,11247,1298,1494,7297,24101,982,68148,3675,1402,146,1074,112,221,170,50,98,3338,944,168,713,162,12630,139,4018,177813,331697,14262,84283,62319,12630,4180,173633
"Jalisco","TLAQUEPAQUE","14","13","1413",51108,18031,1036,1366,6187,10563,813,53749,2917,1572,204,977,63,328,297,77,27,2660,700,129,545,114,12302,188,3952,169905,284222,20939,66887,65523,12302,4066,165839
"Jalisco","GUADALAJARA","14","14","1414",48625,20261,1305,1664,8138,14070,1277,71036,3583,1515,208,1260,114,397,371,95,54,3381,980,182,680,262,15420,189,5536,200603,315005,24119,87980,67097,15420,5798,194805
"Jalisco","LA BARCA","14","15","1415",30463,20981,2631,6582,8774,15022,4051,58289,8208,1062,190,631,112,137,190,86,52,2202,685,161,654,333,11833,65,5761,179155,311602,32079,78973,50111,11833,6094,173061
"Jalisco","TLAQUEPAQUE","14","16","1416",30468,21790,984,1604,7564,10261,1045,60665,3472,1003,143,716,61,272,360,90,38,3345,814,167,702,60,13120,114,4476,163334,297100,25199,76729,43636,13120,4536,158798
"Jalisco","JOCOTEPEC","14","17","1417",26557,23513,1415,5670,8126,16916,1902,55757,3239,773,133,632,80,116,199,49,52,1456,494,123,349,45,9073,80,4801,161550,260155,31501,69544,46506,9073,4846,156704
"Jalisco","AUTLAN DE NAVARRO","14","18","1418",26701,27094,4202,2585,9338,19187,1668,65175,3555,1048,250,499,274,161,200,85,48,1797,645,142,464,199,6858,51,6433,178659,285551,31841,81116,52161,6858,6632,172027
"Jalisco","CIUDAD GUZMAN","14","19","1419",23967,23182,4382,5340,10854,17746,2187,73465,4562,977,222,420,204,116,262,52,60,1999,620,144,517,59,10974,114,6336,188761,297454,31199,92161,47918,10974,6395,182366
"Jalisco","TONALA","14","20","1420",23625,18023,1096,2745,6998,18539,1043,51146,2852,868,78,732,100,159,241,38,41,2317,614,128,449,58,10268,111,4645,146914,276475,22290,64504,45038,10268,4703,142211
"Estado de México","JILOTEPEC DE ANDRES MOLINA ENRIQUEZ","15","01","1501",37449,46258,4032,8804,8081,4406,6006,81860,4874,1103,396,255,45,402,735,198,106,2844,683,134,796,137,7906,275,7092,224877,300993,62509,99272,47686,7906,7229,217648
"Estado de México","SANTA MARIA TULTEPEC","15","02","1502",21630,23640,6500,1198,6545,1462,1481,94883,3543,1164,355,124,91,517,331,114,38,4547,1125,130,792,10,10293,73,3668,184254,274287,27319,111565,31326,10293,3678,180576
"Estado de México","ATLACOMULCO DE FABELA","15","03","1503",27808,45532,2621,3073,15197,2742,2254,86577,3805,1337,333,244,85,649,879,134,84,4709,1551,305,789,95,10496,132,6285,217716,306320,52605,112933,35170,10496,6380,211336
"Estado de México","NICOLAS ROMERO","15","04","1504",29739,29668,3083,1865,7778,1305,1410,90638,3031,1193,329,237,34,508,591,130,33,5118,1233,211,926,18,9182,127,3993,192380,292336,34205,108935,35920,9182,4011,188369
"Estado de México","TEOTIHUACAN DE ARISTA","15","05","1505",24500,36040,3434,2102,9803,1205,1600,93640,3191,910,266,123,23,366,435,61,55,3821,1054,189,761,42,9063,128,3942,196754,272235,40659,112459,30461,9063,3984,192770
"Estado de México","COACALCO DE BERRIOZABAL","15","06","1506",29275,25033,3775,1379,6031,1099,987,98447,3108,1368,353,154,34,538,428,106,27,4970,1063,163,831,25,11272,100,3465,194031,284874,28498,114613,36058,11272,3490,190541
"Estado de México","CUAUTITLAN IZCALLI","15","07","1507",45140,26410,1660,1732,6180,1433,1353,102284,2940,1550,241,260,22,616,480,91,34,4728,1005,144,835,62,13272,122,3598,216192,301207,30716,118116,50306,13272,3660,212532
"Estado de México","TULTITLAN DE MARIANO ESCOBEDO","15","08","1508",21501,21661,3777,1159,5548,1361,1974,84067,2569,961,251,173,65,494,348,170,84,4155,882,107,776,96,8799,116,3421,164515,247313,25890,98104,28089,8799,3517,160998
"Estado de México","SAN FELIPE DEL PROGRESO","15","09","1509",25712,59043,11453,3842,7280,1678,4567,57512,2752,834,476,147,77,570,1219,263,105,2186,613,138,595,55,3637,87,7398,192239,275992,69609,71076,40377,3637,7453,184786
"Estado de México","ECATEPEC DE MORELOS","15","10","1510",20043,25055,3625,1326,5420,1073,1076,85583,2839,994,277,154,46,597,516,92,103,4908,1050,176,917,27,8799,66,3335,168097,261716,28765,100893,26212,8799,3362,164735
"Estado de México","ECATEPEC DE MORELOS","15","11","1511",21071,27553,5367,2383,5921,1057,1237,91853,2812,981,370,138,45,577,642,102,38,5016,1066,157,885,180,9224,75,3941,182691,279818,32532,107710,29029,9224,4121,178570
"Estado de México","IXTAPALUCA","15","12","1512",15105,32336,3100,949,6624,1049,1041,86310,2791,694,165,95,34,654,574,101,49,4753,1064,163,783,77,7938,258,3704,170411,259083,35704,102488,20242,7938,3781,166630
"Estado de México","ECATEPEC DE MORELOS","15","13","1513",22207,28107,3271,1374,5629,1093,1690,90462,2879,1002,264,158,39,712,551,204,57,4980,1003,132,851,53,9667,118,3657,180160,267296,32695,105936,28034,9667,3710,176450
"Estado de México","CIUDAD ADOLFO LOPEZ MATEOS","15","14","1514",53481,27185,2133,2051,5265,1243,1156,88289,2561,1704,346,247,44,610,586,115,61,4400,958,169,836,157,10451,108,3572,207728,299633,31764,102478,59198,10451,3729,203999
"Estado de México","CIUDAD ADOLFO LOPEZ MATEOS","15","15","1515",51609,24552,2089,3732,5793,1143,1000,83836,2643,1585,331,245,32,580,680,76,51,4443,911,168,836,165,9536,126,3945,200107,298643,30671,98630,57034,9536,4110,195997
"Estado de México","ECATEPEC DE MORELOS","15","16","1516",20395,29226,3787,1308,6732,1163,1650,91174,2904,1009,272,162,40,658,780,136,41,5697,1334,196,1016,6,8282,140,4169,182277,287922,33799,109053,26828,8282,4175,178102
"Estado de México","ECATEPEC DE MORELOS","15","17","1517",18205,27223,3168,1340,5282,1018,1185,86486,2688,884,238,130,53,573,463,106,18,5025,1112,140,940,57,8500,95,3423,168352,252315,30908,101673,23696,8500,3480,164872
"Estado de México","HUIXQUILUCAN DE DEGOLLADO","15","18","1518",60646,35394,3616,2482,8577,2195,1954,78706,3363,1867,586,246,50,537,623,121,40,3918,1001,152,773,80,8640,122,4633,220322,302044,41151,96490,69206,8640,4713,215609
"Estado de México","TLALNEPANTLA DE BAZ","15","19","1519",45343,35657,2418,1399,6178,1291,1171,97011,2883,1503,346,294,36,873,663,145,45,5106,1093,258,802,29,11526,140,4039,220249,316670,39953,113331,51231,11526,4068,216181
"Estado de México","CD. NEZAHUALCOYOTL","15","20","1520",22795,25103,10339,1258,5606,1018,1060,96256,2854,1286,579,134,63,527,431,103,46,4832,1075,147,820,28,8726,126,3771,188983,278996,28528,111590,36214,8726,3799,185184
"Estado de México","AMECAMECA DE JUAREZ","15","21","1521",16195,29072,3756,2944,7077,2506,1751,90887,4090,566,178,107,67,323,389,78,27,3563,821,182,841,118,7942,72,3791,177343,255898,34584,107461,23375,7942,3909,173434
"Estado de México","NAUCALPAN DE JUAREZ","15","22","1522",75371,34967,2346,1559,5967,1323,1183,85843,2937,1992,442,320,33,806,741,143,59,4474,1029,174,836,124,9827,205,4147,236848,349805,39458,101260,81827,9827,4271,232577
"Estado de México","LERMA DE VILLADA","15","23","1523",28002,35506,4722,5115,9117,1623,1802,98538,3668,897,388,131,43,354,495,92,55,3930,1021,188,830,43,11062,114,4775,212511,291886,43419,117292,35806,11062,4818,207693
"Estado de México","NAUCALPAN DE JUAREZ","15","24","1524",40853,30818,2823,1604,7094,1171,1149,92250,3202,1411,355,258,27,807,673,132,53,5553,1184,187,911,78,10601,137,4515,207846,336672,35236,110381,46898,10601,4593,203253
"Estado de México","CHIMALHUACAN","15","25","1525",11959,34108,3692,893,5304,987,995,75167,2489,666,230,120,31,589,667,95,24,4738,964,140,797,5,5821,57,3544,154082,251806,37371,89599,17685,5821,3549,150533
"Estado de México","TOLUCA DE LERDO","15","26","1526",42794,40016,3734,1782,8715,1570,1258,88779,3598,1506,503,266,55,804,999,113,58,4767,1122,175,1060,35,13476,67,4927,222179,310407,45030,108216,50428,13476,4962,217217
"Estado de México","METEPEC","15","27","1527",53074,41140,1917,2512,10790,1593,1941,92461,2651,1315,311,217,39,592,470,93,42,3737,1085,164,608,126,12966,103,3950,233897,315076,46790,111496,58466,12966,4076,229821
"Estado de México","ZUMPANGO DE OCAMPO","15","28","1528",26319,28467,2963,2150,7737,2174,4260,95871,3553,1028,351,162,51,467,405,196,54,4415,890,205,791,278,10771,169,4404,198131,314021,35999,113462,33048,10771,4682,193449
"Estado de México","CD. NEZAHUALCOYOTL","15","29","1529",19244,26731,13368,1343,6508,1058,1227,101309,2960,1090,642,102,87,502,446,130,51,4814,1174,150,746,44,8940,140,4333,197139,296172,30430,117661,35591,8940,4377,192762
"Estado de México","CHIMALHUACAN","15","30","1530",12923,35517,3502,1081,5134,904,1091,76724,2998,622,206,81,25,547,643,118,45,4486,904,155,789,25,7067,66,3389,159042,263181,39042,91190,18263,7067,3414,155628
"Estado de México","CD. NEZAHUALCOYOTL","15","31","1531",16388,25677,14984,1332,6439,1024,1141,95680,2964,1111,695,106,109,459,381,88,24,4690,1218,259,808,4,8202,107,4376,188266,290097,29102,112058,34417,8202,4380,183886
"Estado de México","VALLE DE CHALCO SOLIDARIDAD","15","32","1532",12129,16672,13329,2202,5697,1363,767,91499,2850,908,495,98,114,339,445,73,29,4651,1144,167,978,21,6524,129,4158,166781,262331,20527,106986,28436,6524,4179,162602
"Estado de México","CHALCO DE DIAZ COVARRUBIAS","15","33","1533",15216,22768,4516,996,5700,3366,1049,86986,4651,899,205,181,77,413,433,82,43,5048,876,209,1106,45,7838,49,3565,166317,260453,25784,104576,24460,7838,3610,162707
"Estado de México","TOLUCA DE LERDO","15","34","1534",51217,39978,3159,1839,7699,1486,1133,96571,3440,1704,343,223,46,909,629,131,77,4324,989,155,744,22,15516,108,3784,236226,327921,44696,113922,58178,15516,3806,232420
"Estado de México","TENANCINGO DE DEGOLLADO","15","35","1535",28044,33403,7526,4100,16234,1888,2217,79623,3013,886,437,166,56,249,335,68,49,2907,1319,189,557,76,8615,59,6026,198042,284511,40421,103842,39003,8615,6102,191940
"Estado de México","TEJUPILCO DE HIDALGO","15","36","1536",22522,54253,21734,3438,9566,1683,2860,84269,2665,598,615,103,112,264,616,111,41,2073,799,112,569,50,3906,24,6906,219889,296442,61583,100053,47367,3906,6956,212933
"Estado de México","CUAUTITLAN","15","37","1537",27318,26752,2167,1841,6705,3448,1373,100945,3147,1084,215,220,58,414,361,96,52,4499,890,160,783,270,11036,155,3567,197556,287130,30889,117129,34510,11036,3837,193719
"Estado de México","TEXCOCO DE MORA","15","38","1538",18767,28517,2590,4531,5913,1388,1699,103452,2684,828,174,122,34,520,833,113,54,4387,922,211,773,175,9984,95,3557,192323,287754,36267,118342,23903,9984,3732,188591
"Estado de México","LOS REYES ACAQUILPAN","15","39","1539",12516,33396,4724,1811,6433,1009,796,82071,3013,650,248,108,65,586,599,107,23,5066,1109,191,812,51,6786,75,3706,165951,260012,37318,98695,19320,6786,3757,162194
"Estado de México","SAN MIGUEL ZINACANTEPEC","15","40","1540",35273,38318,3692,3524,12661,3025,1882,82334,3389,1238,386,303,77,522,830,138,40,4252,1412,219,838,92,10007,70,6296,210818,308188,45254,105105,43994,10007,6388,204430
"Estado de México","OJO DE AGUA","15","41","1541",26404,46496,2096,1137,6948,951,1568,106760,3143,1034,183,145,24,686,616,142,35,4815,1035,179,835,11,11516,104,4171,221034,322728,50680,123715,30837,11516,4182,216852
"Michoacán","LAZARO CARDENAS","16","01","1601",6387,22630,10982,1686,12305,1493,1376,91338,1949,263,201,61,103,126,212,66,26,2379,1625,159,572,28,3382,22,5949,165320,265614,26122,110327,19490,3382,5977,159343
"Michoacán","PURUANDIRO","16","02","1602",18119,27803,22589,8339,20627,2974,3178,48671,4752,774,663,202,171,189,328,122,127,2143,1718,228,507,276,9719,102,8000,182321,312570,40086,78646,45492,9719,8276,174045
"Michoacán","HEROICA ZITACUARO","16","03","1603",13006,23095,25367,5168,17577,1772,1483,60532,3707,907,729,149,170,260,458,99,71,2986,2026,299,654,63,7223,103,9011,176915,272763,30634,87781,42100,7223,9074,167841
"Michoacán","JIQUILPAN DE JUAREZ","16","04","1604",34602,22440,10411,4893,9262,4133,2159,58034,2584,621,632,288,89,118,220,81,42,1837,918,126,420,38,9399,56,7338,170741,294299,29953,73181,50776,9399,7376,163365
"Michoacán","ZAMORA DE HIDALGO","16","05","1605",30259,19674,7590,3033,12626,2978,1988,56560,2726,714,484,237,92,176,286,80,39,2405,1412,155,458,40,11410,137,5495,161054,297644,25276,76342,42354,11410,5535,155519
"Michoacán","CIUDAD HIDALGO","16","06","1606",20911,23375,12300,5202,13906,2619,2583,53267,3493,988,689,219,155,227,495,237,88,2719,1940,274,660,92,11126,93,8750,166408,280855,32207,76259,37881,11126,8842,157566
"Michoacán","ZACAPU","16","07","1607",16650,20604,11639,7669,11004,3126,1642,57805,4262,663,299,227,102,123,277,75,74,1942,1000,169,578,34,8798,96,7250,156108,268631,30464,76760,32706,8798,7284,148824
"Michoacán","MORELIA","16","08","1608",19856,18141,4380,2524,10394,1605,927,65096,5169,702,277,191,59,335,422,116,40,3160,1217,261,713,287,16699,133,6195,158899,291676,22505,86010,27070,16699,6482,152417
"Michoacán","URUAPAN DEL PROGRESO","16","09","1609",18232,9611,10957,1407,9875,964,810,53515,1984,634,369,143,89,206,191,51,37,2486,1374,187,568,78,11211,72,4841,129892,239846,12313,69989,31388,11211,4919,124973
"Michoacán","MORELIA","16","10","1610",41016,23135,4236,2411,9875,1521,1049,67726,4697,1228,390,261,43,545,481,107,44,3025,1193,251,629,68,19906,143,6081,190061,309830,27772,87396,48695,19906,6149,183912
"Michoacán","PATZCUARO","16","11","1611",17848,21682,17666,6230,15658,1764,3263,58804,5525,917,827,171,152,222,483,99,98,2733,1413,266,738,66,8073,66,9828,174592,287236,32077,85137,39345,8073,9894,164698
"Michoacán","APATZINGAN DE LA CONSTITUCION","16","12","1612",11265,18438,12056,5478,10638,1288,1664,62530,1963,442,480,113,94,125,422,50,62,1926,1439,139,462,106,5407,62,6580,143229,251974,26239,79097,25738,5407,6686,136543
"Morelos","CUERNAVACA","17","01","1701",37440,17634,3739,1866,12432,1714,1180,87499,7080,1171,356,468,49,547,343,119,52,6232,1519,363,1594,91,16245,206,4686,204625,305520,21741,116719,44937,16245,4777,199848
"Morelos","JIUTEPEC","17","02","1702",19144,14704,6219,4697,13020,1450,1279,85836,7845,725,226,249,69,436,455,94,70,6319,1489,400,1541,232,13249,82,5060,184890,283166,21735,116450,28082,13249,5292,179598
"Morelos","CUAUTLA","17","03","1703",11943,12794,4692,1712,16794,2917,2102,99874,8224,454,169,263,89,331,229,149,46,6744,1782,412,1693,224,10169,47,5347,189200,287821,17363,135523,20527,10169,5571,183629
"Morelos","JOJUTLA","17","04","1704",12464,16516,8350,2093,17885,1890,1486,97295,9693,498,194,161,102,305,209,112,36,5452,1639,474,1404,78,9627,64,5483,193510,292132,20757,133842,23659,9627,5561,187949
"Morelos","YAUTEPEC","17","05","1705",14161,12016,7093,2481,22365,2675,2641,92783,9460,495,221,296,85,325,195,130,67,6233,1906,443,1534,55,10761,105,5585,194111,270726,17855,134724,25026,10761,5640,188471
"Nayarit","SANTIAGO IXCUINTLA","18","01","1801",15883,25405,5060,909,9065,1728,1270,71947,3992,662,307,77,45,334,289,103,28,3292,860,224,774,45,1517,27,4287,148130,256770,28338,90154,23762,1517,4332,143798
"Nayarit","TEPIC","18","02","1802",19544,16921,2531,842,12281,2317,926,101355,4824,754,251,182,53,399,257,94,36,4963,1371,266,1030,133,5654,78,3465,180527,302091,19475,126090,25632,5654,3598,176929
"Nayarit","COMPOSTELA","18","03","1803",23965,16222,2343,886,9489,2711,977,80569,3769,784,269,176,40,201,213,67,22,3031,995,144,800,102,3198,76,3987,155036,287950,18588,98797,30288,3198,4089,150947
"Nuevo León","SANTA CATARINA","19","01","1901",83044,14263,702,979,8043,2695,969,38425,1939,1266,204,385,38,205,178,67,34,1423,597,116,291,331,28982,127,3322,188625,316603,16695,50834,88334,28982,3653,184972
"Nuevo León","APODACA","19","02","1902",42714,19783,646,1198,11033,2137,711,54590,2289,776,139,229,26,247,233,58,20,1990,760,132,341,214,36273,138,3070,179747,326742,22250,71135,46667,36273,3284,176463
"Nuevo León","GRAL. ESCOBEDO","19","03","1903",33523,16522,605,2171,11264,1802,645,39411,1810,589,103,202,34,207,298,54,12,1741,728,112,249,49,26272,62,2850,141315,292781,19909,55315,36858,26272,2899,138416
"Nuevo León","SAN NICOLAS DE LOS GARZA","19","04","1904",85419,17581,773,1152,11569,2907,931,51820,2271,1493,268,493,37,329,243,88,21,2287,855,144,322,184,38108,200,3857,223352,365377,20345,69268,91390,38108,4041,219311
"Nuevo León","MONTERREY","19","05","1905",20848,19627,530,1228,18994,1475,613,27351,1218,379,88,217,23,230,424,92,30,1553,1103,143,217,55,19851,39,3390,119718,253844,22244,50579,23560,19851,3445,116273
"Nuevo León","MONTERREY","19","06","1906",91327,25252,807,1485,13990,3460,877,43201,1826,1936,275,597,30,450,382,132,42,2155,1052,131,321,350,29243,390,3799,223510,355425,28620,62676,98432,29243,4149,219361
"Nuevo León","GARCIA","19","07","1907",38410,20478,1759,2680,17454,3416,1753,50904,3408,463,144,190,37,235,312,69,38,2428,811,159,489,110,36068,101,4956,186872,369113,25565,75653,44419,36068,5066,181806
"Nuevo León","GUADALUPE","19","08","1908",37900,20156,791,1270,10741,2131,871,46151,2804,924,168,246,23,264,473,75,35,2016,706,176,400,77,31051,127,3197,162773,299696,23144,62994,42183,31051,3274,159499
"Nuevo León","LINARES","19","09","1909",46669,44375,797,2765,15574,2395,5104,36611,2713,420,141,199,32,277,485,209,84,1814,744,161,363,201,32029,158,7522,201842,327919,53299,57980,50653,32029,7723,194119
"Nuevo León","MONTERREY","19","10","1910",79096,24041,854,1475,9000,4342,850,39837,1908,1481,301,532,42,373,594,132,31,1762,728,130,375,149,23400,142,3817,195392,329254,27496,53740,86648,23400,3966,191426
"Nuevo León","GUADALUPE","19","11","1911",58938,24258,1199,1118,11500,2539,1049,48197,2649,1272,319,444,43,377,517,141,36,2459,937,167,470,8,31580,179,4072,194468,330958,27496,66379,64754,31580,4080,190388
"Nuevo León","BENITO JUAREZ","19","12","1912",23425,21728,957,4133,12311,2193,1119,50116,3909,611,86,152,23,470,562,54,70,2704,744,173,434,272,26959,260,3563,157028,332826,28136,70391,27447,26959,3835,153193
"Oaxaca","SAN JUAN BAUTISTA TUXTEPEC","20","01","2001",18052,26756,5942,4605,11561,1877,7211,101714,5771,472,283,106,44,469,611,236,106,3302,1020,226,826,90,3810,17,6681,201788,272575,39994,124420,26776,3810,6771,195017
"Oaxaca","TEOTITLAN DE FLORES MAGON","20","02","2002",9442,37957,10005,2060,13989,3133,4859,92743,3047,362,198,80,65,861,614,322,48,3010,1257,192,649,69,2971,60,7720,195713,271339,46721,114887,23285,2971,7789,187924
"Oaxaca","HEROICA CIUDAD DE HUAJUAPAN DE LEON","20","03","2003",14104,23621,7817,1897,14374,1299,1489,100085,3273,533,310,96,58,390,556,66,36,3835,1544,237,786,173,5615,72,5447,187713,287380,28055,124134,24217,5615,5620,182093
"Oaxaca","TLACOLULA DE MATAMOROS","20","04","2004",12407,22762,4759,2536,16105,1846,2083,98582,3163,328,202,77,50,343,503,86,62,4278,1899,245,829,154,4960,57,6126,184442,309294,28375,125101,19669,4960,6280,178162
"Oaxaca","SALINA CRUZ","20","05","2005",6588,21351,4604,1687,15626,1551,1501,109322,3358,226,119,46,47,283,485,59,44,3289,1324,210,689,106,2330,43,5496,180384,269697,25410,133818,13181,2330,5602,174782
"Oaxaca","HEROICA CIUDAD DE TLAXIACO","20","06","2006",7030,22596,10809,2480,12474,1528,1764,92000,3192,229,216,54,104,234,497,52,28,3280,1257,152,759,74,2102,45,8346,171302,274610,27651,113114,19970,2102,8420,162882
"Oaxaca","CIUDAD IXTEPEC","20","07","2007",6859,33087,9937,5664,14261,2260,2936,113229,3471,198,133,61,57,356,740,70,56,2452,979,141,576,64,2779,35,5365,205766,285218,42909,135109,19505,2779,5429,200337
"Oaxaca","OAXACA DE JUAREZ","20","08","2008",22453,24172,1845,1178,11325,1012,736,120728,3346,780,286,152,26,587,685,104,26,5088,1826,240,844,16,10241,62,3657,211415,312825,27488,143397,26554,10241,3673,207742
"Oaxaca","PUERTO ESCONDIDO","20","09","2009",6454,35367,12440,2091,10545,1688,3734,96328,2648,241,208,39,70,441,676,151,42,2745,997,137,687,95,1387,29,6724,185964,271574,42502,114087,21140,1387,6819,179145
"Oaxaca","MIAHUATLAN DE PORFIRIO DIAZ","20","10","2010",18555,24274,4885,2837,14075,2876,4434,102668,5926,379,314,101,83,484,611,195,95,3543,1155,303,949,90,2795,125,9018,200770,306787,32930,128619,27193,2795,9108,191662
"Puebla","HUAUCHINANGO DE DEGOLLADO","21","01","2101",41531,32635,6310,4994,9895,5226,2492,80774,3297,727,819,291,158,300,671,220,56,3066,1147,267,935,283,4758,55,9416,210323,279935,41368,99381,55062,4758,9699,200624
"Puebla","CUAUTILULCO BARRIO","21","02","2102",39194,52344,7368,3040,11791,7803,3840,63939,3316,543,516,296,168,286,799,189,66,2384,828,227,606,54,4297,85,10417,214396,281834,60564,83091,55888,4297,10471,203925
"Puebla","TEZIUTLAN","21","03","2103",33816,34648,2961,3784,14189,2877,3951,79599,3830,597,403,261,55,304,552,135,74,3780,1351,237,1043,0,7219,56,9134,204856,286126,43448,104029,40970,7219,9134,195722
"Puebla","AJALPAN","21","04","2104",29081,30685,6410,2511,12926,5967,1677,93706,4199,315,434,199,112,138,374,95,49,3284,1383,263,1116,61,3098,44,9239,207366,270988,35529,116877,42518,3098,9300,198066
"Puebla","SAN MARTIN TEXMELUCAN DE LABASTIDA","21","05","2105",22135,20625,2760,2517,15758,2889,2967,92925,3780,547,213,224,85,275,372,143,50,4730,1994,292,1046,178,9753,82,6044,192384,295720,26949,120525,28853,9753,6222,186162
"Puebla","HEROICA PUEBLA DE ZARAGOZA","21","06","2106",26412,17391,1244,1216,9079,1235,735,103082,2977,876,287,268,43,413,417,87,125,5422,1526,327,1238,146,9395,109,4106,188156,305467,20384,123651,30365,9395,4252,183904
"Puebla","TEPEACA","21","07","2107",27525,20595,2632,3859,13223,4079,1635,96686,4248,605,484,356,40,208,385,84,39,5525,1805,303,1533,112,6434,52,6510,198957,289617,26805,123323,35721,6434,6622,192335
"Puebla","CIUDAD SERDAN","21","08","2108",34213,31578,3565,3563,13370,8849,6955,71992,3591,718,458,433,66,242,498,201,91,3238,1368,256,939,32,6282,156,8876,201530,272123,43128,94754,48302,6282,8908,192622
"Puebla","HEROICA PUEBLA DE ZARAGOZA","21","09","2109",41658,16533,1218,1070,8706,1168,823,104972,2749,1101,308,273,35,392,379,90,46,4963,1514,260,1048,0,10779,199,3928,204212,330112,19333,124212,45761,10779,3928,200284
"Puebla","CHOLULA DE RIVADAVIA","21","10","2110",44812,16854,2118,1923,9662,1566,1395,111390,4182,1196,370,276,31,412,265,91,34,5721,1488,278,1361,231,11304,141,4577,221678,328497,20974,134082,50369,11304,4808,216870
"Puebla","HEROICA PUEBLA DE ZARAGOZA","21","11","2111",28266,18872,1345,1264,9466,2039,926,96030,2799,936,212,271,21,491,562,109,37,5694,1613,224,1206,46,9532,82,4281,186324,307513,22261,117032,33090,9532,4327,181997
"Puebla","HEROICA PUEBLA DE ZARAGOZA","21","12","2112",46587,20611,1198,1223,8491,1166,883,107473,2868,1276,342,247,40,420,367,89,35,4934,1360,182,983,82,12339,152,4185,217533,336747,23628,126291,50856,12339,4267,213266
"Puebla","ATLIXCO","21","13","2113",30753,31814,3534,4353,10650,3943,2185,93474,4301,674,454,245,61,273,624,119,34,4294,1347,261,1082,122,5903,86,7215,207801,310833,39402,115409,39664,5903,7337,200464
"Puebla","ACATLAN DE OSORIO","21","14","2114",24063,37243,3741,2386,13821,4619,2684,104783,4358,446,598,222,184,263,445,105,42,4605,1719,290,1237,116,4121,163,8433,220687,307143,43168,130813,33873,4121,8549,212138
"Puebla","TEHUACAN","21","15","2115",23132,17396,1413,3769,11823,1061,1659,113756,3139,446,219,127,15,243,434,99,41,4326,1690,227,1122,99,8173,40,6120,200569,297925,23641,136083,26413,8173,6219,194350
"Querétaro","CADEREYTA DE MONTES","22","01","2201",44762,29219,2743,1538,10923,2245,2875,48447,3566,965,728,278,47,299,797,175,72,2525,823,167,611,129,8469,107,7223,169733,252531,34975,67062,51768,8469,7352,162381
"Querétaro","SAN JUAN DEL RIO","22","02","2202",48589,21045,1544,2559,8148,1122,1165,70368,3512,1246,365,316,25,426,671,100,37,4360,1067,203,880,376,15445,86,4960,188615,284047,26003,88538,53207,15445,5336,183279
"Querétaro","SANTIAGO DE QUERETARO","22","03","2203",63018,21058,1723,1344,8812,1382,887,80504,3266,1916,499,332,32,496,668,139,28,4712,1195,233,895,225,17579,215,4991,216149,363990,24620,99617,68902,17579,5216,210933
"Querétaro","SANTIAGO DE QUERETARO","22","04","2204",84290,25593,1621,1313,7753,1290,1028,76947,3011,2246,561,368,60,631,709,131,50,3936,1127,200,765,334,17495,354,4556,236369,361257,29455,93739,90436,17495,4890,231479
"Querétaro","EL PUEBLITO","22","05","2205",74924,30324,3765,2134,9670,1378,1077,56458,3255,1605,589,401,54,516,1589,109,73,3337,959,154,663,283,13884,89,5756,213046,321128,35822,74496,82716,13884,6039,207007
"Quintana Roo","PLAYA DEL CARMEN","23","01","2301",24310,19073,2393,1142,14081,1724,1012,106097,4952,1012,333,197,50,417,551,82,42,4449,1528,256,1173,89,7326,136,4175,196600,338233,22319,132536,30019,7326,4264,192336
"Quintana Roo","CHETUMAL","23","02","2302",19538,21216,6873,1029,9912,1920,2994,94310,7439,1127,585,130,110,590,493,145,65,3958,1367,229,1251,73,6161,96,5623,187234,272867,26532,118466,30283,6161,5696,181538
"Quintana Roo","CANCUN","23","03","2303",11424,5926,1060,3653,6626,948,600,96192,4349,581,157,125,39,291,474,30,45,4259,1546,167,1326,84,6573,68,3263,149806,264634,11019,114465,14334,6573,3347,146459
"Quintana Roo","CANCUN","23","04","2304",36451,10960,1298,4180,7404,1669,691,104092,3775,1223,296,238,37,400,551,46,47,4346,1676,193,1176,115,9376,122,3144,193506,332932,16875,122662,41212,9376,3259,190247
"San Luis Potosí","MATEHUALA","24","01","2401",32032,37760,4566,9121,13527,4411,1709,42161,2803,902,413,715,82,437,1101,206,143,2067,885,179,458,84,9748,39,7948,173497,262221,50477,62080,43121,9748,8032,165465
"San Luis Potosí","SOLEDAD DE GRACIANO SANCHEZ","24","02","2402",31374,29545,19596,4345,11348,1921,1416,62011,3151,896,1009,303,193,510,744,309,107,2752,993,207,704,53,16212,79,7959,197737,321336,36976,81166,55292,16212,8012,189725
"San Luis Potosí","RIOVERDE","24","03","2403",30905,38598,5184,7364,14294,2784,1859,40105,2334,781,563,576,52,869,1588,211,214,2019,845,196,475,49,7559,65,7938,167427,263906,50703,60268,40845,7559,7987,159440
