"edo_min","nombre_distrito","cve_edo","cve_dtto","cve_edo_dtto","pan","pri","prd","pvem","pt","movimiento_ciudadano","nueva_alianza","morena","encuentro_social","pan_prd_mc","pan_prd","pan_mc","prd_mc","pri_pvem_na","pri_pvem","pri_na","pvem_na","pt_morena_pes","pt_morena","pt_pes","morena_pes","cand_ind_01","cand_ind_02","cnr","vn","total_votos_calculados","lista_nominal_casilla","v_meade","v_amlo","v_anaya","v_bronco","v_nulos_bis","v_validos"
"Chiapas","TAPACHULA","07","12","0712",12171,17029,1225,7375,9459,1459,1190,114416,5413,456,132,113,34,356,623,107,75,5106,1488,319,1572,77,4836,45,6840,191916,293222,26755,137773,15590,4836,6917,184999
"Chiapas","HUEHUETAN","07","13","0713",7782,25512,5301,14205,21370,2706,5194,71672,4876,323,181,56,79,177,690,153,138,2796,1165,280,827,70,2163,61,13163,180940,272255,46069,102986,16428,2163,13233,167707
"Chihuahua","JUAREZ","08","01","0801",18772,12775,1255,1730,8431,1574,1054,70927,4490,441,72,160,25,164,196,52,27,3092,932,168,838,305,14768,168,4401,146817,294799,15998,88878,22299,14768,4706,142111
"Chihuahua","JUAREZ","08","02","0802",21224,16804,3594,2835,9586,2819,1221,56128,3854,495,232,411,67,211,356,93,61,2777,1090,298,918,42,12129,540,5431,143216,286909,21581,74651,28842,12129,5473,137743
"Chihuahua","JUAREZ","08","03","0803",18018,17896,1262,2016,8157,1979,1639,50255,4199,383,103,216,33,188,245,78,45,2561,915,172,789,47,9810,225,5599,126830,288764,22107,67048,21994,9810,5646,121184
"Chihuahua","JUAREZ","08","04","0804",47825,20727,1027,1911,8212,1660,1240,63401,3549,1037,197,300,56,314,310,119,33,2823,921,201,716,117,19044,191,4795,180726,331502,24654,79823,52102,19044,4912,175814
"Chihuahua","DELICIAS","08","05","0805",48362,27392,2426,1269,11901,1225,4338,58500,3727,650,301,421,37,227,281,161,61,2410,1016,165,630,208,14375,85,5428,185596,322473,33729,78349,53422,14375,5636,179960
"Chihuahua","CHIHUAHUA","08","06","0806",91921,22781,823,1280,6236,1337,1064,54003,2898,1912,375,540,35,391,305,106,33,2304,768,168,595,431,22234,172,3355,216067,347451,25960,66972,96943,22234,3786,212281
"Chihuahua","CUAUHTEMOC","08","07","0807",34382,24764,1880,1616,8172,4021,1486,55884,3711,552,306,562,101,189,309,137,30,2434,944,238,922,116,6293,142,6662,155853,289173,28531,72305,41804,6293,6778,149075
"Chihuahua","CHIHUAHUA","08","08","0808",59458,19996,1087,1374,8158,1246,1259,53286,3113,1417,286,435,33,370,303,112,31,2844,955,208,660,131,21526,86,4347,182721,331730,23445,69224,63962,21526,4478,178243
"Chihuahua","HIDALGO DEL PARRAL","08","09","0809",38281,39113,2260,2696,6392,1721,1484,33615,2566,482,356,446,35,265,755,159,95,1241,481,129,421,207,11985,99,8808,154092,250459,44567,44845,43581,11985,9015,145077
"Ciudad de México","GUSTAVO A. MADERO","09","01","0901",22010,16826,12360,1404,7846,1103,806,115410,4057,1706,550,232,103,557,378,88,41,8855,1779,264,1367,5,8553,72,4837,211209,310869,20100,139578,38064,8553,4842,206367
"Ciudad de México","GUSTAVO A. MADERO","09","02","0902",48229,29458,11677,1500,7501,1450,1190,121598,4067,2434,715,271,105,933,524,125,80,7484,1497,294,1267,229,12237,218,5200,260283,367043,33810,143708,64881,12237,5429,254854
"Ciudad de México","AZCAPOTZALCO","09","03","0903",51400,28760,6826,1742,8985,1690,1136,133496,4090,2795,758,302,127,960,535,146,56,8441,1713,243,1241,149,13232,252,5331,274406,378726,33335,158209,63898,13232,5480,268926
"Ciudad de México","IZTAPALAPA","09","04","0904",21289,14238,13146,994,9228,1368,729,103833,3490,1551,566,170,144,522,324,125,55,7193,1652,249,1018,123,7580,128,4345,194060,280449,16987,126663,38234,7580,4468,189592
"Ciudad de México","TLALPAN","09","05","0905",38421,21353,4119,1593,6348,1209,770,88970,2708,1893,453,219,81,804,465,109,25,6135,1318,178,927,91,7948,167,3766,190070,269909,25119,106584,46395,7948,3857,186213
"Ciudad de México","LA MAGDALENA CONTRERAS","09","06","0906",47624,29037,5593,1422,7297,2184,919,102443,3008,2154,489,245,97,758,653,95,34,6534,1445,231,967,97,7284,179,4574,225363,315711,32918,121925,58386,7284,4671,220692
"Ciudad de México","GUSTAVO A. MADERO","09","07","0907",32260,27286,15904,1575,8137,1616,1005,135968,4276,2533,744,223,174,914,527,133,47,8778,1631,221,1305,52,11560,384,5199,262452,367201,31487,160316,53454,11560,5251,257201
"Ciudad de México","CUAUHTEMOC","09","08","0908",25870,24223,8089,1212,5923,1246,1063,90571,3122,1708,471,181,91,833,459,118,76,6481,1182,209,1097,5,9140,182,4359,187911,278649,27984,108585,37656,9140,4364,183547
"Ciudad de México","TLAHUAC","09","09","0909",19543,16766,5284,1959,8328,1328,936,111779,3264,1509,365,182,79,515,408,116,56,7321,1678,250,1058,49,9671,142,4163,196749,294302,20756,133678,28290,9671,4212,192537
"Ciudad de México","MIGUEL HIDALGO","09","10","0910",68247,28467,3010,1248,6123,1697,1033,88369,2503,2290,515,306,55,929,451,136,66,5286,1265,207,711,57,9473,232,3945,226621,319499,32330,104464,76120,9473,4002,222619
"Ciudad de México","VENUSTIANO CARRANZA","09","11","0911",33030,24251,15755,1133,7257,1231,936,103247,3085,2174,795,236,130,734,383,137,75,6269,1318,217,964,95,10212,161,4415,218240,306332,27649,122357,53351,10212,4510,213730
"Ciudad de México","CUAUHTEMOC","09","12","0912",41675,26713,2898,1157,5358,1216,848,93821,2540,1917,416,181,53,984,455,136,35,5851,1171,115,830,97,9056,277,3808,201608,298033,30328,109686,48356,9056,3905,197703
"Ciudad de México","IZTACALCO","09","13","0913",37996,24601,17199,1433,7712,1600,943,129316,3519,2513,1006,258,143,813,425,133,74,7576,1686,205,1217,954,10132,215,4791,256460,357004,28422,151231,60715,10132,5745,250715
"Ciudad de México","TLALPAN","09","14","0914",31699,19003,4095,1270,6640,1248,815,100494,2739,1565,392,196,79,626,342,91,28,6084,1415,185,1058,88,7213,201,3862,191428,269751,22175,118615,39274,7213,3950,187478
"Ciudad de México","BENITO JUAREZ","09","15","0915",97143,39150,2173,1469,4923,1471,1262,96960,2288,3115,542,378,19,1258,457,155,34,4550,921,171,528,163,9565,422,3917,273034,367723,43785,110341,104841,9565,4080,268954
"Ciudad de México","ALVARO OBREGON","09","16","0916",40364,23115,13511,1274,7848,1428,863,110258,3578,2539,802,237,129,788,411,103,35,7383,1523,226,1050,144,9522,173,5176,232480,326967,26589,131866,59010,9522,5320,227160
"Ciudad de México","CUAJIMALPA DE MORELOS","09","17","0917",53045,27952,8854,1138,8096,1490,816,96852,3657,2108,607,292,121,631,542,83,75,6355,1407,215,1049,92,8174,120,4856,228627,320805,31237,117631,66517,8174,4948,223679
"Ciudad de México","IZTAPALAPA","09","18","0918",35925,22115,15239,1332,9146,1710,930,112974,3695,2053,701,220,149,690,378,87,59,7274,1594,239,1065,97,10241,143,5060,233116,321491,25591,135987,55997,10241,5157,227959
"Ciudad de México","IZTAPALAPA","09","19","0919",24086,18463,14923,1215,9763,1547,811,111370,3571,1759,665,260,127,585,307,94,67,7935,1796,198,1116,86,8734,151,4810,214439,299307,21542,135749,43367,8734,4896,209543
"Ciudad de México","IZTAPALAPA","09","20","0920",19276,17074,17333,1053,8898,1490,766,102632,3605,1463,619,163,176,472,261,84,76,6983,1726,290,1122,0,7897,110,4994,198563,286303,19786,125256,40520,7897,4994,193569
"Ciudad de México","XOCHIMILCO","09","21","0921",18801,18516,4065,1348,10013,3206,765,114550,4058,1574,376,223,102,599,372,132,23,10102,1927,273,1246,134,9698,117,4589,206809,314624,21755,142169,28347,9698,4723,202086
"Ciudad de México","IZTAPALAPA","09","22","0922",13587,11064,20295,1004,9746,1887,731,101618,3372,1316,631,172,206,382,225,65,74,7977,1863,204,1197,112,6165,61,5083,189037,282855,13545,125977,38094,6165,5195,183842
"Ciudad de México","COYOACAN","09","23","0923",47165,26149,18138,1281,8561,1351,1024,126595,3252,2440,899,242,110,824,408,111,44,6804,1620,192,995,26,9245,294,5299,263069,358453,29841,148019,70345,9245,5325,257744
"Ciudad de México","COYOACAN","09","24","0924",52868,29296,11124,1424,7659,1366,1101,107568,3653,2654,974,269,95,976,462,128,55,6539,1396,231,849,109,10462,298,4436,245992,336250,33442,127895,69350,10462,4545,241447
"Durango","VICTORIA DE DURANGO","10","01","1001",39755,35520,1230,4384,16619,1889,1092,46971,3420,883,423,305,33,291,526,103,48,2667,1510,186,553,88,10097,72,4787,173452,315480,41964,71926,44518,10097,4875,168577
"Durango","GOMEZ PALACIO","10","02","1002",36679,29322,1376,1117,10336,1784,1167,79583,4198,827,302,244,30,340,435,73,29,3370,1193,207,935,235,9345,58,3634,186819,322807,32483,99822,41242,9345,3869,182950
"Durango","GUADALUPE VICTORIA","10","03","1003",38800,34361,3604,2576,14583,1485,1181,58805,4579,879,676,242,39,351,637,103,37,2817,1294,205,845,68,7338,39,4810,180354,311975,39246,83128,45725,7338,4878,175476
"Durango","VICTORIA DE DURANGO","10","04","1004",49432,24341,1078,1152,19766,3023,1133,55643,2823,1462,492,489,43,351,369,112,36,3631,1927,249,547,245,19159,44,3534,191081,329417,27494,84586,56019,19159,3779,187302
"Guanajuato","SAN LUIS DE LA PAZ","11","01","1101",43525,23944,2891,5172,6006,3144,1616,33495,2134,682,282,274,42,240,398,72,62,1353,420,142,305,34,13286,69,6657,146245,263698,31504,43855,50840,13286,6691,139554
"Guanajuato","SAN MIGUEL DE ALLENDE","11","02","1102",49916,14271,1672,4459,5240,2779,2059,42726,2219,785,291,306,34,201,274,56,44,1619,504,129,357,118,15136,82,6091,151368,299491,21364,52794,55783,15136,6209,145159
"Guanajuato","LEON","11","03","1103",91411,15223,900,2770,3566,1231,1202,26634,1094,1639,323,380,26,279,396,44,27,1150,385,48,193,238,13659,149,3256,166223,281185,19941,33070,95910,13659,3494,162729
"Guanajuato","GUANAJUATO","11","04","1104",41879,21650,2405,6694,5208,3197,3132,29437,1416,692,259,194,30,305,328,142,70,1253,446,74,191,27,12152,86,4910,136177,263508,32321,38025,48656,12152,4937,131240
"Guanajuato","LEON","11","05","1105",76360,16623,928,3082,4011,1264,802,26747,1216,1543,306,425,12,350,480,61,42,1315,438,56,225,65,13944,49,3779,154123,286821,21440,34008,80838,13944,3844,150279
"Guanajuato","LEON","11","06","1106",73555,17089,1085,2637,3838,1102,788,27432,1204,1488,332,322,37,311,488,61,19,1335,439,70,243,137,12798,151,3247,150208,280288,21393,34561,77921,12798,3384,146824
"Guanajuato","SAN FRANCISCO DEL RINCON","11","07","1107",58571,27978,1524,4759,4963,1257,955,30538,1433,855,267,267,17,231,406,63,58,1222,479,57,264,55,12556,59,4856,153690,300057,34450,38956,62758,12556,4911,148779
"Guanajuato","SALAMANCA","11","08","1108",49437,14453,6096,3084,7965,1467,4102,59894,2572,915,415,206,33,228,199,86,37,2288,794,130,488,114,19989,134,5068,180194,318874,22189,74131,58569,19989,5182,175012
"Guanajuato","IRAPUATO","11","09","1109",49727,18908,1231,2653,4687,1036,952,34363,1510,927,220,228,13,276,289,78,36,1596,548,78,327,73,12761,97,3471,136085,280355,23192,43109,53382,12761,3544,132541
"Guanajuato","URIANGATO","11","10","1110",52445,22275,9085,5600,8490,1483,1394,45457,2324,826,519,188,46,166,243,47,44,1875,661,115,359,208,17215,211,5551,176827,321373,29769,59281,64592,17215,5759,171068
"Guanajuato","LEON","11","11","1111",67312,16449,914,2785,3844,1131,763,26177,1332,1365,448,384,10,305,457,62,25,1330,404,77,232,22,12667,127,2978,141600,266144,20846,33396,71564,12667,3000,138600
"Guanajuato","CELAYA","11","12","1112",59560,15086,1186,2161,5736,1518,1052,47450,1841,1294,254,303,21,293,311,54,32,2014,699,91,394,52,23806,190,3905,169303,317526,18989,58225,64136,23806,3957,165346
"Guanajuato","VALLE DE SANTIAGO","11","13","1113",44579,25795,5642,4041,7712,2571,3015,44844,2321,681,283,208,64,189,213,84,61,1746,637,96,407,277,13119,112,5486,164183,306715,33398,57763,54028,13119,5763,158420
